Overzicht Kandidaatgegevens;;;;;;;;;;;;;
Verkiezing: Tweede Kamer der Staten-Generaal 2021 2021;;;;;;;;;;;;;
;;;;;;;;;;;;;
Kieskring;Lijstnummer;Politieke Groepering;Type;Publiceer geslacht;Taal;Nr.;Tussenvoegsel;Achternaam;Voorletters;Roepnaam;Geslacht;Woonplaats;Land
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;41;van den;Born;V.H.;Vincent;m;Den Helder;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;42;;Nagtegaal;S.;Sjors;m;Utrecht;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;43;van;Dooren;A.C.;Arthur;m;Nieuwe Pekela;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;44;;Thiadens;F.M.;Folkert;m;Zevenhuizen;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;45;;Verheij;C.;Coen;m;Arnhem;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;46;van der;Kammen;P.;Patricia;v;Tilburg;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;47;;Aardema;M.;Max;m;Drachten;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;48;;Kruis;A.S.;Sebastian;m;'s-Gravenhage;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;49;;Housmans;R.W.P.E.;Robert;m;Born;NL
alle;2;PVV (Partij voor de Vrijheid);stel gelijkluidende lijsten;ja;nl;50;van;Strien;G.A.;Gom;m;Arcen;NL
1;3;CDA;lijstengroep;ja;nl;1;;Hoekstra;W.B.;Wopke;m;Bussum;NL
1;3;CDA;lijstengroep;ja;nl;2;;Omtzigt;P.H.;Pieter;m;Enschede;NL
1;3;CDA;lijstengroep;ja;nl;3;;Kuik;A.;Anne;v;Groningen;NL
1;3;CDA;lijstengroep;ja;nl;4;van;Dijk;I.;Inge;v;Gemert;NL
1;3;CDA;lijstengroep;ja;nl;5;;Knops;R.W.;Raymond;m;Hegelsom;NL
1;3;CDA;lijstengroep;ja;nl;6;;Heerma;P.E.;Pieter;m;Purmerend;NL
1;3;CDA;lijstengroep;ja;nl;7;;Keijzer;M.C.G.;Mona;v;Edam;NL
1;3;CDA;lijstengroep;ja;nl;8;;Mulder;A.H.;Agnes;v;Assen;NL
1;3;CDA;lijstengroep;ja;nl;9;van der;Molen;H.;Harry;m;Leeuwarden;NL
1;3;CDA;lijstengroep;ja;nl;10;;Werner;L.M.;Lucille;v;Nederhorst den Berg;NL
1;3;CDA;lijstengroep;ja;nl;11;;Geurts;J.L.;Jaco;m;Voorthuizen;NL
1;3;CDA;lijstengroep;ja;nl;12;;Palland-Mulder;H.M.;Hilde;v;Kampen;NL
1;3;CDA;lijstengroep;ja;nl;13;;Peters;W.P.H.J.;René;m;Oss;NL
1;3;CDA;lijstengroep;ja;nl;14;;Boswijk;D.G.;Derk;m;Kockengen;NL
1;3;CDA;lijstengroep;ja;nl;15;;Amhaouch;M.;Mustafa;m;Panningen;NL
1;3;CDA;lijstengroep;ja;nl;16;van den;Berg-Jansen;J.A.M.J.;Joba;v;Goes;NL
1;3;CDA;lijstengroep;ja;nl;17;;Bontenbal;H.;Henri;m;Rotterdam;NL
1;3;CDA;lijstengroep;ja;nl;18;;Slootweg;E.J.;Evert Jan;m;Bennekom;NL
1;3;CDA;lijstengroep;ja;nl;19;;Postma;W.L.;Wytske;v;'s-Gravenhage;NL
1;3;CDA;lijstengroep;ja;nl;20;;Terpstra;J.H.;Julius;m;Leiden;NL
1;3;CDA;lijstengroep;ja;nl;21;;Krul;H.M.;Harmen;m;Den Helder;NL
1;3;CDA;lijstengroep;ja;nl;22;van den;Brink;G.;Bart;m;Amersfoort;NL
1;3;CDA;lijstengroep;ja;nl;23;;Vedder-Monaster;E.C.;Eline;v;Ruinerwold;NL
1;3;CDA;lijstengroep;ja;nl;24;;Meerkerk;C.F.;Frank;m;Ottoland;NL
1;3;CDA;lijstengroep;ja;nl;25;van;Helvert;M.J.F.;Martijn;m;Sittard;NL
1;3;CDA;lijstengroep;ja;nl;26;;Zwinkels;J.M.;Jantine;v;Utrecht;NL
1;3;CDA;lijstengroep;ja;nl;27;;Jonkers;J.P.;Jaap;m;Joure;NL
1;3;CDA;lijstengroep;ja;nl;28;;Beemsterboer;J.C.J.;Jelle;m;Tuitjenhorn;NL
1;3;CDA;lijstengroep;ja;nl;29;;Tijmstra;E.S.;Eveline;v;Purmerend;NL
1;3;CDA;lijstengroep;ja;nl;30;;Nass;M.J.M.H.;Marieke;v;Gulpen;NL
1;3;CDA;lijstengroep;ja;nl;31;de;Jonge;F.T.;Froukje;v;Almere;NL
