CDA,21,Chantal van den Berg,V,https://www.cda.nl/mensen/kandidaat-chantal-van-den-berg/,https://www.linkedin.com/in/chantal-van-den-berg-5077608/,,https://www.instagram.com/chantalvdenberg/?igsh=bGdpdDc5bDR4cGgz&utm_source=qr#,https://www.facebook.com/chantal.vandenberg.505?mibextid=wwXIfr&rdid=8VE50m6qcJRiOvuf&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1ZuxytWzRV%2F%3Fmibextid%3DwwXIfr#,
CDA,22,Marcel Hanegraaff,M,,,,,,
CDA,23,Karsten Klein,M,,,,,,
CDA,24,Marieke van der Spek,V,https://www.cda.nl/mensen/kandidaat-marieke-van-der-spek/,https://www.linkedin.com/in/marieke-van-der-spek-b47181141/,https://x.com/marieke52454469,,https://www.facebook.com/mar.best.7/,
CDA,25,Arjan Tolkamp,M,,,,,,
CDA,26,Hemin Hawezy,M,,,,,,
CDA,27,Ankie de Hoon,V,https://www.cda.nl/noord-brabant/dongen/mensen/ankie-de-hoon/,https://www.linkedin.com/in/ankiedehoon/,https://x.com/AnkiedHoon,,https://www.facebook.com/ankiedehoon/?locale=nl_NL,
CDA,28,Johanna de Vries,V,https://www.cda.nl/zuid-holland/mensen/johanna-de-vries/,https://www.linkedin.com/in/johannabesteman/,https://x.com/johannabesteman?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/joohanna75?igsh=bzZwNm11Z2FxODZx,https://www.facebook.com/JohannaBesteman/?locale=nl_NL,
CDA,29,Stefan Mastenbroek,M,,,,,,
CDA,30,Josine Heijnen,V,https://www.cda.nl/mensen/kandidaat-josine-heijnen/,https://www.linkedin.com/in/josineheijnen/,,https://www.instagram.com/josineheijnen/?hl=en,,
CDA,31,Jacob Boonstra,M,,,,,,
CDA,32,Caroline van Brakel,V,https://www.cda.nl/mensen/kandidaat-caroline-van-brakel/,https://www.linkedin.com/in/caroline-van-brakel-a90b769a/,https://x.com/cepvbrakel,,,
CDA,33,Ivora Noort,V,https://www.cda.nl/mensen/kandidaat-ivora-noort/,https://www.cda.nl/mensen/kandidaat-ivora-noort/,,https://www.instagram.com/mrsivb/?hl=en,,
CDA,34,Sjoerd Wijnsma,M,,,,,,
CDA,35,Daisy Vliegenthart-Goedhart,V,https://www.cda.nl/mensen/kandidaat-daisy-vliegenthart-goedhart/,https://www.linkedin.com/in/daisyvliegenthart/,,https://www.instagram.com/daisyvliegenthart/,https://www.facebook.com/daisy.vliegenthartgoedhart,
CDA,36,Dani Bracke,M,,,,,,
CDA,37,Yusuf Tuncer,M,,,,,,
CDA,38,René Vrugt,M,,,,,,
CDA,39,Steven van Die,M,,,,,,
CDA,40,Matthijs Buijs,M,,,,,,
CDA,41,Jacky Silos,V,https://www.cda.nl/mensen/kandidaat-jacky-silos/,https://www.linkedin.com/in/jacky-silos-5b778112/?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,,https://www.instagram.com/jackysilos/?hl=en,https://www.facebook.com/jacky.silos?mibextid=wwXIfr&rdid=WfS7Ldmgn9grXcG8&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1G5f4KVNe7%2F%3Fmibextid%3DwwXIfr#,
CDA,42,Erik Drenth,M,,,,,,
CDA,43,Paul Boogaard,M,,,,,,
CDA,44,Elske van der Mik,V,https://www.cda.nl/mensen/kandidaat-elske-van-der-mik/,https://www.linkedin.com/in/elske-van-der-mik-85734a17/,https://x.com/Elskemik,https://www.instagram.com/elskevandermik/,,
CDA,45,Hubert Schokker,M,,,,,,
CDA,46,Willemien Wever,V,https://www.cda.nl/flevoland/dronten/mensen/willemien-wever/,https://www.linkedin.com/in/willemien-wever-8a65973a/,,https://www.instagram.com/willemienwever/,https://www.facebook.com/willemien.wever/?locale=nl_NL,
CDA,47,Stijn Sips,M,,,,,,
CDA,48,Luc van Dijk-Wijmenga,M,,,,,,
CDA,49,Gregor Rossen,M,,,,,,
CDA,50,Gregory Sedoc,M,,,,,,
ChristenUnie,1,Mirjam Bikker,V,https://www.christenunie.nl/mensen/mirjam-bikker,https://www.linkedin.com/in/mirjam-bikker-45936616/,,https://www.instagram.com/mirjambikkercu/,https://www.facebook.com/mirjam.bikker.3,https://bsky.app/profile/mirjambikker.bsky.social
ChristenUnie,2,Pieter Grinwis,M,,,,,,
ChristenUnie,3,Don Ceder,M,,,,,,
ChristenUnie,4,Alwin te Rietstap,M,,,,,,
ChristenUnie,5,Joëlle Gooijer,V,https://www.christenunie.nl/mensen/joelle-gooijer,https://www.linkedin.com/in/joëlle-gooijer-medema-65989321/,,https://www.instagram.com/joellegooijer/,https://www.facebook.com/joelle.gooijer,https://bsky.app/profile/jkgooijer.bsky.social
ChristenUnie,6,Nico Drost,M,,,,,,
ChristenUnie,7,Carlijn Niesink,V,https://www.christenunie.nl/mensen/carlijn-niesink,https://www.linkedin.com/in/carlijn-niesink-18036083/,,https://www.instagram.com/carlijniesink/,https://www.facebook.com/niesink,https://bsky.app/profile/carlijnniesink.bsky.social
ChristenUnie,8,Wouter de Reus,M,,,,,,
ChristenUnie,9,Cora Otter-van den Bosch,V,https://www.christenunie.nl/mensen/cora-otter-van-den-bosch,https://www.linkedin.com/in/coraotter/,,,https://www.facebook.com/cora.otter.5,
ChristenUnie,10,Tobias Holtman,M,,,,,,
ChristenUnie,11,Inge Jongman-Mollema,V,https://www.christenunie.nl/mensen/inge-jongman-mollema,https://www.linkedin.com/in/inge-jongman-882a1939/,,https://www.instagram.com/inge_jongman/,https://www.facebook.com/IngeJongman,
ChristenUnie,12,Maarten van Ooijen,M,,,,,,
ChristenUnie,13,Harmjan Vedder,M,,,,,,
ChristenUnie,14,Christian van der Krift,M,,,,,,
ChristenUnie,15,Judith Westerink-Petersen,V,https://www.christenunie.nl/mensen/judith-westerink-petersen,https://www.linkedin.com/in/judith-westerink-61869525/,,,,
ChristenUnie,16,Hetty Egger-van Oppen,V,https://www.christenunie.nl/mensen/hetty-egger-van-oppen,https://www.linkedin.com/in/hetty-egger-van-oppen-931464a/,,,https://www.facebook.com/hetty.eggervanoppen,
ChristenUnie,17,Roos Jonkheer-Vos,V,https://www.christenunie.nl/mensen/roos-jonkheer-vos,https://www.linkedin.com/in/roos-jonkheer-vos-355604aa/,,https://www.instagram.com/roosjonkheer/,https://www.facebook.com/roos.vos.3,
ChristenUnie,18,Gaetan Mbwete,M,,,,,,
ChristenUnie,19,Harmke Vlieg-Kempe,V,https://www.christenunie.nl/mensen/harmke-vlieg-kempe,https://www.linkedin.com/in/harmke-vlieg-295b9519/,,https://www.instagram.com/harmkevlieg/,https://www.facebook.com/harmke.vlieg,
ChristenUnie,20,Mark Treurniet,M,,,,,,
ChristenUnie,21,Willemien Treurniet-Klapwijk,V,https://www.christenunie.nl/mensen/willemien-treurniet-klapwijk,https://www.linkedin.com/in/willemien-treurniet-a3b51063/,,https://www.instagram.com/willemientreurniet/,https://www.facebook.com/willemien.treurniet,
ChristenUnie,22,Jennifer Elskamp-Hofstede,V,https://www.christenunie.nl/mensen/jennifer-elskamp-hofstede,https://www.linkedin.com/in/jennifer-elskamp-81860b91/,,https://www.instagram.com/jennifer_elskamp_78/,https://www.facebook.com/jennifer.elskamp.3,
